Freq[Hz]     dBSPL  Phase[Deg]
5.00000    108.680    -9.720
5.07273    108.682    -9.861
5.14651    108.683   -10.001
5.22137    108.684   -10.142
5.29732    108.685   -10.283
5.37437    108.686   -10.424
5.45254    108.688   -10.565
5.53185    108.689   -10.706
5.61231    108.690   -10.847
5.69394    108.691   -10.988
5.77676    108.693   -11.129
5.86079    108.694   -11.270
5.94604    108.696   -11.451
6.03252    108.698   -11.632
6.12027    108.700   -11.813
6.20929    108.702   -11.994
6.29961    108.704   -12.175
6.39124    108.706   -12.356
6.48420    108.708   -12.537
6.57851    108.710   -12.718
6.67420    108.712   -12.899
6.77128    108.714   -13.080
6.86977    108.716   -13.261
6.96969    108.718   -13.442
7.07107    108.720   -13.623
7.17392    108.722   -13.804
7.27827    108.724   -13.985
7.38413    108.727   -14.188
7.49154    108.730   -14.409
7.60050    108.733   -14.629
7.71105    108.736   -14.850
7.82321    108.739   -15.070
7.93701    108.742   -15.291
8.05245    108.745   -15.511
8.16958    108.748   -15.732
8.28841    108.751   -15.952
8.40896    108.754   -16.173
8.53128    108.757   -16.393
8.65537    108.760   -16.613
8.78126    108.763   -16.834
8.90899    108.767   -17.091
9.03857    108.771   -17.350
9.17004    108.775   -17.609
9.30342    108.779   -17.869
9.43874    108.783   -18.128
9.57603    108.787   -18.387
9.71532    108.792   -18.647
9.85663    108.796   -18.906
10.0000    108.800   -19.165
10.1455    108.804   -19.425
10.2930    108.809   -19.694
10.4427    108.814   -19.991
10.5946    108.819   -20.289
10.7487    108.825   -20.586
10.9051    108.830   -20.884
11.0637    108.836   -21.181
11.2246    108.841   -21.478
11.3879    108.847   -21.776
11.5535    108.852   -22.073
11.7216    108.858   -22.371
11.8921    108.865   -22.706
12.0650    108.872   -23.041
12.2405    108.879   -23.376
12.4186    108.885   -23.710
12.5992    108.892   -24.045
12.7825    108.899   -24.380
12.9684    108.906   -24.715
13.1570    108.913   -25.049
13.3484    108.921   -25.416
13.5426    108.930   -25.787
13.7395    108.939   -26.158
13.9394    108.947   -26.529
14.1421    108.956   -26.901
14.3478    108.964   -27.272
14.5565    108.973   -27.643
14.7683    108.982   -28.034
14.9831    108.992   -28.441
15.2010    109.003   -28.848
15.4221    109.013   -29.255
15.6464    109.023   -29.662
15.8740    109.033   -30.069
16.1049    109.044   -30.476
16.3392    109.056   -30.916
16.5768    109.068   -31.357
16.8179    109.080   -31.799
17.0626    109.092   -32.241
17.3107    109.104   -32.682
17.5625    109.116   -33.124
17.8180    109.130   -33.597
18.0771    109.144   -34.072
18.3401    109.158   -34.547
18.6068    109.172   -35.022
18.8775    109.186   -35.498
19.1521    109.201   -35.986
19.4306    109.217   -36.494
19.7133    109.233   -37.002
20.0000    109.250   -37.510
20.2909    109.266   -38.018
20.5860    109.282   -38.534
20.8855    109.300   -39.074
21.1893    109.319   -39.613
21.4975    109.337   -40.153
21.8102    109.355   -40.692
22.1274    109.374   -41.247
22.4492    109.394   -41.817
22.7758    109.415   -42.388
23.1071    109.435   -42.958
