Freq[Hz]     dBSPL  Phase[Deg]
5.00000     74.082     2.141
5.07273     74.085     2.171
5.14651     74.088     2.200
5.22137     74.091     2.230
5.29732     74.094     2.259
5.37437     74.097     2.289
5.45254     74.100     2.318
5.53185     74.103     2.348
5.61231     74.106     2.377
5.69394     74.109     2.407
5.77676     74.112     2.436
5.86079     74.115     2.466
5.94604     74.120     2.502
6.03252     74.125     2.538
6.12027     74.129     2.574
6.20929     74.134     2.610
6.29961     74.139     2.646
6.39124     74.144     2.682
6.48420     74.149     2.718
6.57851     74.154     2.754
6.67420     74.159     2.789
6.77128     74.164     2.825
6.86977     74.169     2.861
6.96969     74.174     2.897
7.07107     74.179     2.933
7.17392     74.184     2.969
7.27827     74.189     3.005
7.38413     74.195     3.044
7.49154     74.202     3.085
7.60050     74.209     3.126
7.71105     74.217     3.167
7.82321     74.224     3.208
7.93701     74.231     3.249
8.05245     74.238     3.290
8.16958     74.246     3.331
8.28841     74.253     3.372
8.40896     74.260     3.413
8.53128     74.267     3.453
8.65537     74.275     3.494
8.78126     74.282     3.535
8.90899     74.292     3.579
9.03857     74.301     3.624
9.17004     74.311     3.668
9.30342     74.321     3.712
9.43874     74.331     3.756
9.57603     74.341     3.801
9.71532     74.351     3.845
9.85663     74.361     3.889
10.0000     74.371     3.933
10.1455     74.381     3.978
10.2930     74.392     4.022
10.4427     74.405     4.068
10.5946     74.418     4.114
10.7487     74.431     4.160
10.9051     74.444     4.205
11.0637     74.457     4.251
11.2246     74.470     4.297
11.3879     74.483     4.342
11.5535     74.496     4.388
11.7216     74.509     4.434
11.8921     74.525     4.479
12.0650     74.541     4.524
12.2405     74.558     4.570
12.4186     74.574     4.615
12.5992     74.590     4.660
12.7825     74.606     4.705
12.9684     74.623     4.750
13.1570     74.639     4.796
13.3484     74.658     4.839
13.5426     74.678     4.881
13.7395     74.698     4.924
13.9394     74.718     4.967
14.1421     74.738     5.009
14.3478     74.758     5.052
14.5565     74.777     5.095
14.7683     74.799     5.135
14.9831     74.823     5.173
15.2010     74.846     5.211
15.4221     74.870     5.249
15.6464     74.894     5.287
15.8740     74.917     5.325
16.1049     74.941     5.364
16.3392     74.968     5.395
16.5768     74.996     5.427
16.8179     75.023     5.458
17.0626     75.051     5.490
17.3107     75.078     5.521
17.5625     75.106     5.553
17.8180     75.137     5.576
18.0771     75.168     5.599
18.3401     75.200     5.622
18.6068     75.231     5.645
18.8775     75.263     5.668
19.1521     75.296     5.687
19.4306     75.331     5.699
19.7133     75.367     5.712
20.0000     75.403     5.724
20.2909     75.438     5.736
20.5860     75.475     5.746
20.8855     75.514     5.746
21.1893     75.554     5.746
21.4975     75.594     5.746
21.8102     75.634     5.746
22.1274     75.675     5.740
22.4492     75.719     5.726
22.7758     75.763     5.712
23.1071     75.807     5.699
23.4432     75.851     5.685
23.7841     75.899     5.655
24.1301     75.947     5.626
24.4811     75.995     5.597
24.8372     76.043     5.568
25.1984     76.094     5.525
25.5649     76.146     5.479
25.9368     76.198     5.433
26.3141     76.250     5.387
26.6968     76.306     5.325
27.0851     76.362     5.261
27.4791     76.418     5.197
27.8788     76.475     5.131
28.2843     76.535     5.047
28.6957     76.595     4.964
29.1131     76.656     4.881
29.5365     76.718     4.786
29.9661     76.782     4.682
30.4020     76.846     4.579
30.8442     76.911     4.472
31.2929     76.979     4.347
31.7480     77.047     4.222
32.2098     77.115     4.098
32.6783     77.187     3.952
33.1536     77.259     3.806
33.6359     77.330     3.659
34.1251     77.405     3.493
34.6215     77.481     3.324
35.1250     77.556     3.156
35.6359     77.635     2.965
36.1543     77.714     2.774
36.6802     77.794     2.579
37.2137     77.877     2.364
37.7550     77.959     2.149
38.3041     78.043     1.925
38.8613     78.129     1.686
39.4265     78.215     1.447
40.0000     78.304     1.189
40.5818     78.394     0.927
41.1721     78.484     0.658
41.7710     78.577     0.371
42.3785     78.669     0.084
42.9949     78.765    -0.224
43.6203     78.861    -0.535
44.2548     78.958    -0.858
44.8985     79.057    -1.194
45.5515     79.157    -1.534
46.2141     79.259    -1.894
46.8863     79.361    -2.255
47.5683     79.466    -2.639
48.2602     79.571    -3.024
48.9621     79.678    -3.430
49.6743     79.786    -3.839
50.3968     79.896    -4.267
51.1299     80.007    -4.700
51.8736     80.120    -5.153
52.6281     80.233    -5.610
53.3936     80.349    -6.088
54.1702     80.465    -6.569
54.9581     80.583    -7.073
55.7575     80.702    -7.581
56.5685     80.823    -8.110
57.3914     80.945    -8.646
58.2261     81.069    -9.198
59.0730     81.194    -9.764
59.9323     81.320   -10.339
60.8040     81.448   -10.935
61.6884     81.577   -11.537
62.5857     81.708   -12.159
63.4960     81.839   -12.793
64.4196     81.972   -13.437
65.3566     82.108   -14.103
66.3073     82.244   -14.779
67.2717     82.381   -15.467
68.2502     82.520   -16.175
69.2429     82.661   -16.895
70.2501     82.802   -17.627
71.2719     82.946   -18.380
72.3086     83.090   -19.145
73.3603     83.236   -19.922
74.4274     83.383   -20.718
75.5099     83.532   -21.530
76.6083     83.683   -22.355
77.7226     83.834   -23.194
78.8531     83.987   -24.052
80.0000     84.142   -24.926
81.1636     84.297   -25.814
82.3442     84.455   -26.718
83.5419     84.613   -27.636
84.7570     84.773   -28.573
85.9899     84.935   -29.527
87.2406     85.098   -30.496
88.5096     85.262   -31.481
89.7970     85.427   -32.482
91.1031     85.594   -33.500
92.4282     85.763   -34.534
93.7726     85.932   -35.585
95.1366     86.103   -36.653
96.5204     86.276   -37.739
