Freq[Hz]     dBSPL  Phase[Deg]
5.00000     75.507     3.223
5.07273     75.510     3.268
5.14651     75.514     3.312
5.22137     75.517     3.357
5.29732     75.520     3.402
5.37437     75.524     3.447
5.45254     75.527     3.492
5.53185     75.530     3.536
5.61231     75.534     3.581
5.69394     75.537     3.626
5.77676     75.541     3.671
5.86079     75.544     3.716
5.94604     75.550     3.771
6.03252     75.555     3.826
6.12027     75.561     3.881
6.20929     75.566     3.936
6.29961     75.572     3.991
6.39124     75.577     4.046
6.48420     75.583     4.101
6.57851     75.588     4.156
6.67420     75.594     4.211
6.77128     75.600     4.266
6.86977     75.605     4.322
6.96969     75.611     4.377
7.07107     75.616     4.432
7.17392     75.622     4.487
7.27827     75.627     4.542
7.38413     75.634     4.602
7.49154     75.642     4.665
7.60050     75.651     4.729
7.71105     75.659     4.792
7.82321     75.667     4.856
7.93701     75.675     4.919
8.05245     75.683     4.983
8.16958     75.691     5.047
8.28841     75.699     5.110
8.40896     75.708     5.174
8.53128     75.716     5.237
8.65537     75.724     5.301
8.78126     75.732     5.364
8.90899     75.743     5.434
9.03857     75.754     5.504
9.17004     75.765     5.574
9.30342     75.776     5.644
9.43874     75.787     5.714
9.57603     75.799     5.783
9.71532     75.810     5.853
9.85663     75.821     5.923
10.0000     75.832     5.993
10.1455     75.843     6.063
10.2930     75.855     6.134
10.4427     75.870     6.208
10.5946     75.884     6.282
10.7487     75.899     6.356
10.9051     75.913     6.430
11.0637     75.927     6.504
11.2246     75.942     6.578
11.3879     75.956     6.652
11.5535     75.971     6.726
11.7216     75.985     6.800
11.8921     76.003     6.876
12.0650     76.022     6.951
12.2405     76.040     7.027
12.4186     76.058     7.103
12.5992     76.076     7.178
12.7825     76.094     7.254
12.9684     76.112     7.330
13.1570     76.130     7.405
13.3484     76.151     7.481
13.5426     76.173     7.555
13.7395     76.195     7.630
13.9394     76.217     7.705
14.1421     76.239     7.780
14.3478     76.261     7.855
14.5565     76.283     7.930
14.7683     76.307     8.003
14.9831     76.333     8.075
15.2010     76.359     8.146
15.4221     76.385     8.218
15.6464     76.411     8.290
15.8740     76.437     8.361
16.1049     76.463     8.433
16.3392     76.493     8.499
16.5768     76.523     8.566
16.8179     76.553     8.632
17.0626     76.583     8.698
17.3107     76.613     8.764
17.5625     76.643     8.830
17.8180     76.677     8.889
18.0771     76.712     8.947
18.3401     76.746     9.005
18.6068     76.780     9.063
18.8775     76.815     9.121
19.1521     76.851     9.176
19.4306     76.889     9.224
19.7133     76.928     9.272
20.0000     76.966     9.320
20.2909     77.005     9.368
20.5860     77.045     9.413
20.8855     77.088     9.450
21.1893     77.130     9.486
21.4975     77.173     9.522
21.8102     77.216     9.558
22.1274     77.261     9.587
22.4492     77.308     9.610
22.7758     77.355     9.632
23.1071     77.402     9.654
23.4432     77.449     9.676
23.7841     77.501     9.683
24.1301     77.552     9.689
24.4811     77.603     9.696
24.8372     77.655     9.703
25.1984     77.709     9.695
25.5649     77.765     9.685
25.9368     77.820     9.675
26.3141     77.875     9.664
26.6968     77.934     9.638
27.0851     77.994     9.610
27.4791     78.053     9.581
27.8788     78.113     9.550
28.2843     78.177     9.501
28.6957     78.240     9.453
29.1131     78.304     9.405
29.5365     78.369     9.345
29.9661     78.436     9.276
30.4020     78.504     9.207
30.8442     78.572     9.135
31.2929     78.643     9.044
31.7480     78.714     8.954
32.2098     78.785     8.864
32.6783     78.859     8.752
33.1536     78.934     8.640
33.6359     79.009     8.528
34.1251     79.087     8.395
34.6215     79.165     8.260
35.1250     79.243     8.125
35.6359     79.325     7.968
36.1543     79.407     7.810
36.6802     79.489     7.649
37.2137     79.574     7.467
37.7550     79.659     7.285
38.3041     79.745     7.093
38.8613     79.833     6.887
39.4265     79.922     6.681
40.0000     80.012     6.456
40.5818     80.104     6.226
41.1721     80.196     5.990
41.7710     80.291     5.735
42.3785     80.385     5.481
42.9949     80.482     5.206
43.6203     80.580     4.927
44.2548     80.678     4.636
44.8985     80.779     4.333
45.5515     80.880     4.024
46.2141     80.983     3.696
46.8863     81.086     3.368
47.5683     81.192     3.015
48.2602     81.297     2.663
48.9621     81.406     2.289
49.6743     81.514     1.913
50.3968     81.625     1.516
51.1299     81.736     1.115
51.8736     81.849     0.695
52.6281     81.962     0.270
53.3936     82.078    -0.176
54.1702     82.194    -0.625
54.9581     82.312    -1.097
55.7575     82.430    -1.572
56.5685     82.551    -2.069
57.3914     82.672    -2.572
58.2261     82.795    -3.092
59.0730     82.919    -3.625
59.9323     83.044    -4.167
60.8040     83.171    -4.730
61.6884     83.299    -5.300
62.5857     83.428    -5.888
63.4960     83.558    -6.489
64.4196     83.690    -7.100
65.3566     83.823    -7.732
66.3073     83.957    -8.375
67.2717     84.093    -9.030
68.2502     84.230    -9.704
69.2429     84.368   -10.389
70.2501     84.507   -11.088
71.2719     84.648   -11.806
72.3086     84.790   -12.537
73.3603     84.933   -13.279
74.4274     85.077   -14.041
75.5099     85.223   -14.818
76.6083     85.370   -15.608
77.7226     85.518   -16.411
78.8531     85.668   -17.234
80.0000     85.819   -18.072
81.1636     85.972   -18.924
82.3442     86.125   -19.791
83.5419     86.280   -20.673
84.7570     86.436   -21.574
85.9899     86.594   -22.490
87.2406     86.753   -23.422
88.5096     86.913   -24.369
89.7970     87.074   -25.332
91.1031     87.237   -26.312
92.4282     87.401   -27.307
93.7726     87.567   -28.319
95.1366     87.733   -29.349
96.5204     87.901   -30.395
97.9243     88.071   -31.458
99.3486     88.241   -32.537
100.794     88.413   -33.633
102.260     88.587   -34.746
103.747     88.761   -35.876
105.256     88.937   -37.023
106.787     89.115   -38.188
108.340     89.293   -39.369
109.916     89.473   -40.569
111.515     89.654   -41.787
113.137     89.837   -43.022
114.783     90.021   -44.275
116.452     90.206   -45.545
118.146     90.393   -46.834
119.865     90.581   -48.140
121.608     90.770   -49.464
123.377     90.961   -50.809
125.171     91.153   -52.171
126.992     91.346   -53.552
128.839     91.540   -54.951
130.713     91.736   -56.370
132.615     91.933   -57.808
134.543     92.132   -59.265
136.500     92.332   -60.742
138.486     92.533   -62.239
140.500     92.736   -63.755
142.544     92.939   -65.292
144.617     93.145   -66.848
146.721     93.351   -68.425
148.855     93.559   -70.024
151.020     93.768   -71.642
153.217     93.979   -73.283
155.445     94.191   -74.943
157.706     94.404   -76.627
160.000     94.619   -78.332
162.327     94.835   -80.059
164.688     95.052   -81.809
167.084     95.271   -83.580
169.514     95.491   -85.376
171.980     95.712   -87.195
174.481     95.935   -89.036
177.019     96.159   -90.903
179.594     96.384   -92.793
182.206     96.611   -94.709
184.856     96.839   -96.649
187.545     97.069   -98.614
190.273     97.300  -100.605
193.041     97.532  -102.623
195.849     97.766  -104.668
198.697     98.001  -106.739
201.587     98.237  -108.838
204.520     98.475  -110.965
207.494     98.714  -113.120
210.512     98.955  -115.304
213.574     99.196  -117.518
216.681     99.440  -119.761
219.833     99.685  -122.035
223.030     99.931  -124.341
226.274    100.178  -126.678
229.565    100.427  -129.047
232.905    100.677  -131.448
236.292    100.929  -133.885
239.729    101.182  -136.354
243.216    101.436  -138.858
246.754    101.692  -141.399
250.343    101.949  -143.974
253.984    102.208  -146.588
257.678    102.468  -149.238
261.426    102.729  -151.927
265.229    102.991  -154.655
269.087    103.255  -157.423
273.001    103.520  -160.232
276.972    103.786  -163.082
281.000    104.054  -165.975
285.088    104.323  -168.910
289.234    104.592  -171.890
293.441    104.863  -174.915
297.709    105.136  -177.985
302.040    105.409   178.898
306.433    105.683   175.733
310.890    105.958   172.520
315.412    106.235   169.258
320.000    106.512   165.945
324.655    106.790   162.580
329.377    107.069   159.164
334.168    107.348   155.694
339.028    107.629   152.170
343.959    107.909   148.591
348.962    108.191   144.956
354.038    108.473   141.264
359.188    108.755   137.514
364.412    109.037   133.705
369.713    109.320   129.835
375.090    109.603   125.906
380.546    109.886   121.914
386.081    110.169   117.859
391.697    110.452   113.741
397.394    110.734   109.558
403.175    111.016   105.309
409.039    111.298   100.995
414.989    111.579    96.613
421.025    111.859    92.162
427.149    112.139    87.643
433.362    112.417    83.054
439.665    112.695    78.395
446.060    112.971    73.664
452.548    113.246    68.861
459.131    113.519    63.985
465.809    113.791    59.037
472.584    114.061    54.013
479.458    114.329    48.915
486.432    114.596    43.742
493.507    114.860    38.493
500.686    115.122    33.167
507.968    115.381    27.764
515.357    115.638    22.283
522.853    115.892    16.725
530.458    116.144    11.088
538.174    116.397     5.257
546.002    116.650    -0.706
553.943    116.874    -6.124
