Freq[Hz]     dBSPL  Phase[Deg]
5.00000     64.384   151.000
5.07273     64.402   150.607
5.14651     64.420   150.215
5.22137     64.438   149.822
5.29732     64.456   149.430
5.37437     64.474   149.037
5.45254     64.491   148.645
5.53185     64.509   148.252
5.61231     64.527   147.860
5.69394     64.545   147.467
5.77676     64.563   147.075
5.86079     64.581   146.681
5.94604     64.609   146.205
6.03252     64.636   145.730
6.12027     64.663   145.254
6.20929     64.691   144.779
6.29961     64.718   144.304
6.39124     64.745   143.828
6.48420     64.773   143.353
6.57851     64.800   142.877
6.67420     64.827   142.402
6.77128     64.855   141.926
6.86977     64.882   141.451
6.96969     64.910   140.976
7.07107     64.937   140.500
7.17392     64.964   140.025
7.27827     64.992   139.549
7.38413     65.024   139.036
7.49154     65.062   138.493
7.60050     65.099   137.950
7.71105     65.136   137.407
7.82321     65.173   136.865
7.93701     65.211   136.322
8.05245     65.248   135.779
8.16958     65.285   135.236
8.28841     65.322   134.693
8.40896     65.360   134.150
8.53128     65.397   133.607
8.65537     65.434   133.065
8.78126     65.471   132.522
8.90899     65.518   131.928
9.03857     65.565   131.331
9.17004     65.612   130.734
9.30342     65.659   130.138
9.43874     65.706   129.541
9.57603     65.753   128.944
9.71532     65.800   128.347
9.85663     65.847   127.750
10.0000     65.894   127.153
10.1455     65.941   126.557
10.2930     65.990   125.948
10.4427     66.046   125.308
10.5946     66.103   124.669
10.7487     66.159   124.029
10.9051     66.215   123.389
11.0637     66.271   122.749
11.2246     66.328   122.109
11.3879     66.384   121.469
11.5535     66.440   120.829
11.7216     66.497   120.189
11.8921     66.562   119.514
12.0650     66.627   118.840
12.2405     66.692   118.165
12.4186     66.756   117.491
12.5992     66.821   116.816
12.7825     66.886   116.142
12.9684     66.951   115.467
13.1570     67.016   114.793
13.3484     67.088   114.094
13.5426     67.161   113.391
13.7395     67.234   112.688
13.9394     67.306   111.985
14.1421     67.379   111.283
14.3478     67.452   110.580
14.5565     67.525   109.877
14.7683     67.602   109.161
14.9831     67.682   108.434
15.2010     67.762   107.708
15.4221     67.842   106.981
15.6464     67.922   106.255
15.8740     68.002   105.528
16.1049     68.082   104.802
16.3392     68.168   104.056
16.5768     68.255   103.309
16.8179     68.342   102.562
17.0626     68.428   101.815
17.3107     68.515   101.068
17.5625     68.601   100.321
17.8180     68.693    99.557
