Freq[Hz]     dBSPL  Phase[Deg]
5.00000     83.010   174.719
5.07273     83.010   174.642
5.14651     83.009   174.565
5.22137     83.008   174.488
5.29732     83.007   174.411
5.37437     83.007   174.334
5.45254     83.006   174.257
5.53185     83.005   174.180
5.61231     83.005   174.103
5.69394     83.004   174.026
5.77676     83.003   173.949
5.86079     83.002   173.871
5.94604     83.001   173.772
6.03252     83.000   173.672
6.12027     82.999   173.573
6.20929     82.998   173.473
6.29961     82.997   173.374
6.39124     82.995   173.274
6.48420     82.994   173.175
6.57851     82.993   173.075
6.67420     82.992   172.976
6.77128     82.991   172.876
6.86977     82.990   172.777
6.96969     82.988   172.677
7.07107     82.987   172.578
7.17392     82.986   172.478
7.27827     82.985   172.379
7.38413     82.983   172.267
7.49154     82.982   172.145
7.60050     82.980   172.023
7.71105     82.978   171.901
7.82321     82.976   171.778
7.93701     82.975   171.656
8.05245     82.973   171.534
8.16958     82.971   171.412
8.28841     82.969   171.290
8.40896     82.967   171.168
8.53128     82.966   171.046
8.65537     82.964   170.924
8.78126     82.962   170.802
8.90899     82.960   170.658
9.03857     82.957   170.514
9.17004     82.955   170.369
9.30342     82.952   170.224
9.43874     82.950   170.079
9.57603     82.947   169.934
9.71532     82.945   169.790
9.85663     82.943   169.645
10.0000     82.940   169.500
10.1455     82.938   169.355
10.2930     82.935   169.204
10.4427     82.932   169.036
10.5946     82.928   168.869
10.7487     82.925   168.701
10.9051     82.922   168.533
11.0637     82.919   168.365
11.2246     82.915   168.198
11.3879     82.912   168.030
11.5535     82.909   167.862
11.7216     82.905   167.694
11.8921     82.901   167.503
12.0650     82.897   167.312
12.2405     82.893   167.121
12.4186     82.888   166.930
12.5992     82.884   166.739
12.7825     82.880   166.548
12.9684     82.876   166.357
13.1570     82.872   166.166
13.3484     82.866   165.955
13.5426     82.861   165.741
13.7395     82.856   165.526
13.9394     82.851   165.312
14.1421     82.845   165.097
14.3478     82.840   164.883
14.5565     82.835   164.668
14.7683     82.829   164.440
14.9831     82.822   164.202
15.2010     82.816   163.964
15.4221     82.809   163.725
15.6464     82.803   163.487
15.8740     82.796   163.249
16.1049     82.790   163.011
16.3392     82.782   162.749
16.5768     82.774   162.486
16.8179     82.766   162.224
17.0626     82.759   161.961
17.3107     82.751   161.699
17.5625     82.743   161.436
17.8180     82.734   161.151
18.0771     82.724   160.863
18.3401     82.715   160.576
18.6068     82.706   160.289
18.8775     82.697   160.002
19.1521     82.687   159.705
19.4306     82.676   159.392
19.7133     82.665   159.080
20.0000     82.654   158.768
20.2909     82.643   158.455
20.5860     82.632   158.136
20.8855     82.620   157.798
21.1893     82.607   157.460
21.4975     82.595   157.122
21.8102     82.582   156.784
22.1274     82.569   156.433
22.4492     82.554   156.069
22.7758     82.540   155.705
23.1071     82.525   155.340
23.4432     82.511   154.976
23.7841     82.495   154.584
24.1301     82.478   154.193
24.4811     82.462   153.802
24.8372     82.446   153.411
25.1984     82.427   152.997
25.5649     82.409   152.578
25.9368     82.390   152.159
26.3141     82.372   151.740
26.6968     82.351   151.296
27.0851     82.331   150.849
27.4791     82.310   150.401
27.8788     82.289   149.950
28.2843     82.266   149.473
28.6957     82.243   148.997
29.1131     82.219   148.520
29.5365     82.195   148.026
29.9661     82.169   147.518
30.4020     82.143   147.011
30.8442     82.117   146.498
31.2929     82.089   145.959
31.7480     82.060   145.420
32.2098     82.032   144.882
32.6783     82.001   144.311
33.1536     81.969   143.740
33.6359     81.938   143.169
34.1251     81.904   142.567
34.6215     81.870   141.962
35.1250     81.835   141.356
35.6359     81.798   140.718
36.1543     81.761   140.077
36.6802     81.723   139.432
37.2137     81.682   138.754
37.7550     81.641   138.076
38.3041     81.599   137.383
38.8613     81.555   136.666
39.4265     81.511   135.950
40.0000     81.464   135.201
40.5818     81.416   134.444
41.1721     81.367   133.676
41.7710     81.315   132.876
42.3785     81.263   132.076
42.9949     81.209   131.238
43.6203     81.153   130.393
44.2548     81.095   129.525
44.8985     81.036   128.633
45.5515     80.975   127.730
46.2141     80.912   126.787
46.8863     80.848   125.843
47.5683     80.780   124.847
48.2602     80.712   123.851
48.9621     80.640   122.804
49.6743     80.567   121.752
50.3968     80.491   120.649
51.1299     80.415   119.536
51.8736     80.334   118.371
52.6281     80.253   117.194
53.3936     80.168   115.958
54.1702     80.082   114.712
54.9581     79.992   113.395
55.7575     79.901   112.067
56.5685     79.807   110.670
57.3914     79.711   109.246
58.2261     79.613   107.765
59.0730     79.512   106.234
59.9323     79.409   104.663
60.8040     79.304   103.011
61.6884     79.198   101.326
62.5857     79.089    99.557
63.4960     78.979    97.728
64.4196     78.868    95.851
65.3566     78.755    93.862
66.3073     78.642    91.819
67.2717     78.529    89.703
68.2502     78.416    87.472
69.2429     78.304    85.173
70.2501     78.194    82.792
71.2719     78.087    80.279
72.3086     77.983    77.682
73.3603     77.883    74.998
74.4274     77.790    72.182
75.5099     77.704    69.256
76.6083     77.626    66.232
77.7226     77.557    63.108
78.8531     77.502    59.852
80.0000     77.460    56.489
81.1636     77.434    53.032
82.3442     77.422    49.485
83.5419     77.429    45.851
84.7570     77.459    42.127
85.9899     77.511    38.338
87.2406     77.584    34.500
88.5096     77.680    30.626
89.7970     77.800    26.728
91.1031     77.943    22.823
92.4282     78.109    18.925
93.7726     78.298    15.049
95.1366     78.510    11.212
96.5204     78.743     7.425
97.9243     78.995     3.697
99.3486     79.264     0.038
100.794     79.549    -3.547
102.260     79.847    -7.052
103.747     80.158   -10.475
105.256     80.479   -13.813
106.787     80.809   -17.068
108.340     81.147   -20.239
109.916     81.490   -23.327
111.515     81.839   -26.334
113.137     82.191   -29.265
114.783     82.546   -32.126
116.452     82.903   -34.919
118.146     83.260   -37.650
119.865     83.619   -40.322
121.608     83.977   -42.940
123.377     84.335   -45.501
125.171     84.691   -48.017
126.992     85.047   -50.491
128.839     85.400   -52.927
130.713     85.752   -55.325
132.615     86.102   -57.690
134.543     86.450   -60.029
136.500     86.796   -62.341
138.486     87.139   -64.629
140.500     87.480   -66.899
142.544     87.819   -69.150
144.617     88.155   -71.387
146.721     88.488   -73.612
148.855     88.819   -75.826
151.020     89.148   -78.032
153.217     89.474   -80.232
155.445     89.798   -82.429
157.706     90.119   -84.622
160.000     90.439   -86.816
162.327     90.755   -89.010
164.688     91.070   -91.207
167.084     91.382   -93.408
169.514     91.692   -95.615
171.980     92.001   -97.828
174.481     92.307  -100.050
177.019     92.611  -102.281
179.594     92.913  -104.523
182.206     93.213  -106.776
184.856     93.511  -109.043
187.545     93.807  -111.323
190.273     94.102  -113.619
193.041     94.395  -115.931
195.849     94.686  -118.260
198.697     94.976  -120.606
201.587     95.263  -122.972
204.520     95.550  -125.358
207.494     95.835  -127.765
210.512     96.118  -130.193
213.574     96.400  -132.644
216.681     96.681  -135.119
219.833     96.960  -137.617
223.030     97.238  -140.142
226.274     97.515  -142.692
229.565     97.790  -145.269
232.905     98.065  -147.873
236.292     98.338  -150.507
239.729     98.610  -153.170
243.216     98.881  -155.862
246.754     99.150  -158.586
250.343     99.419  -161.341
253.984     99.687  -164.130
257.678     99.954  -166.951
261.426    100.220  -169.807
265.229    100.485  -172.697
269.087    100.749  -175.625
273.001    101.012  -178.588
276.972    101.275   178.411
281.000    101.536   175.372
285.088    101.797   172.293
289.234    102.057   169.175
293.441    102.316   166.015
297.709    102.575   162.814
302.040    102.833   159.570
306.433    103.090   156.283
310.890    103.347   152.951
315.412    103.603   149.574
320.000    103.859   146.151
324.655    104.113   142.681
329.377    104.368   139.163
334.168    104.621   135.596
339.028    104.874   131.979
343.959    105.127   128.312
348.962    105.379   124.593
354.038    105.631   120.821
359.188    105.882   116.997
364.412    106.132   113.117
369.713    106.382   109.182
375.090    106.632   105.192
380.546    106.881   101.143
386.081    107.129    97.036
391.697    107.377    92.871
397.394    107.625    88.645
403.175    107.871    84.358
409.039    108.118    80.009
414.989    108.363    75.597
421.025    108.608    71.121
427.149    108.852    66.581
433.362    109.096    61.975
439.665    109.339    57.302
446.060    109.581    52.561
452.548    109.822    47.752
459.131    110.063    42.873
465.809    110.302    37.925
472.584    110.541    32.904
479.458    110.779    27.812
486.432    111.015    22.648
493.507    111.250    17.409
500.686    111.484    12.096
507.968    111.717     6.708
515.357    111.948     1.244
522.853    112.178    -4.297
530.458    112.406    -9.916
538.174    112.637   -15.728
546.002    112.868   -21.672
553.943    113.073   -27.072
562.001    113.294   -33.007
570.175    113.529   -39.476
578.469    113.739   -45.400
586.883    113.945   -51.317
595.419    114.163   -57.766
604.080    114.375   -64.206
612.866    114.582   -70.638
621.780    114.784   -77.061
630.824    114.979   -83.474
640.000    115.186   -90.412
649.309    115.386   -97.338
658.753    115.566  -103.720
668.335    115.755  -110.623
678.056    115.952  -118.042
687.919    116.143  -125.448
697.925    116.315  -132.311
708.077    116.482  -139.161
718.376    116.657  -146.524
728.825    116.838  -154.397
739.426    117.013  -162.253
750.181    117.172  -169.571
761.093    117.336  -177.396
772.163    117.496   174.794
783.394    117.650   167.000
794.789    117.810   158.701
806.349    117.965   150.418
818.078    118.115   142.149
829.977    118.261   133.894
842.050    118.411   125.137
854.298    118.557   116.393
866.724    118.690   108.174
879.330    118.827    99.453
892.120    118.968    90.230
905.097    119.104    81.018
918.262    119.235    71.817
931.618    119.362    62.627
945.169    119.484    53.447
958.917    119.607    43.769
972.864    119.725    34.105
987.015    119.837    24.456
1001.37    119.949    14.318
1015.94    120.055     4.202
1030.71    120.154    -5.888
1045.71    120.251   -16.449
1060.92    120.341   -26.973
1076.35    120.423   -37.452
1092.00    120.499   -47.881
1107.89    120.569   -58.254
1124.00    120.636   -69.054
1140.35    120.700   -80.265
1156.94    120.760   -91.390
1173.77    120.818  -102.420
1190.84    120.874  -113.356
1208.16    120.933  -124.194
1225.73    120.998  -135.403
1243.56    121.072  -146.976
1261.65    121.157  -158.458
1280.00    121.255  -169.862
1298.62    121.368   178.789
1317.51    121.498   167.472
1336.67    121.657   155.257
1356.11    121.835   143.017
1375.84    122.032   130.720
1395.85    122.244   118.342
1416.15    122.468   105.859
1436.75    122.710    92.790
1457.65    122.966    79.112
1478.85    123.222    65.289
1500.36    123.475    51.325
1522.19    123.727    36.747
1544.33    123.968    22.052
1566.79    124.202     6.767
1589.58    124.426    -9.091
1612.70    124.624   -24.505
1636.16    124.809   -40.443
1659.95    124.981   -56.881
1684.10    125.134   -73.298
1708.60    125.271   -89.676
1733.45    125.395  -106.001
1758.66    125.514  -123.246
1784.24    125.625  -140.419
1810.19    125.730  -157.521
1836.52    125.837  -175.047
1863.24    125.948   166.995
1890.34    126.061   149.074
1917.83    126.179   131.169
1945.73    126.305   112.776
1974.03    126.438    93.878
