Freq[Hz]     dBSPL  Phase[Deg]
5.00000     58.344   158.534
5.07273     58.345   158.215
5.14651     58.346   157.895
5.22137     58.347   157.575
5.29732     58.348   157.256
5.37437     58.349   156.936
5.45254     58.350   156.617
5.53185     58.351   156.297
5.61231     58.351   155.977
5.69394     58.352   155.658
5.77676     58.353   155.338
5.86079     58.354   155.017
5.94604     58.356   154.597
6.03252     58.358   154.177
6.12027     58.361   153.756
6.20929     58.363   153.336
6.29961     58.365   152.916
6.39124     58.367   152.496
6.48420     58.369   152.075
6.57851     58.371   151.655
6.67420     58.373   151.235
6.77128     58.375   150.815
6.86977     58.377   150.394
6.96969     58.380   149.974
7.07107     58.382   149.554
7.17392     58.384   149.134
7.27827     58.386   148.713
7.38413     58.389   148.234
7.49154     58.393   147.708
7.60050     58.398   147.183
7.71105     58.402   146.657
7.82321     58.406   146.132
7.93701     58.410   145.606
8.05245     58.415   145.080
8.16958     58.419   144.555
8.28841     58.423   144.029
8.40896     58.427   143.504
8.53128     58.432   142.978
8.65537     58.436   142.453
8.78126     58.440   141.927
8.90899     58.448   141.299
9.03857     58.455   140.663
9.17004     58.463   140.028
9.30342     58.471   139.393
9.43874     58.479   138.758
9.57603     58.486   138.123
9.71532     58.494   137.488
9.85663     58.502   136.853
10.0000     58.509   136.218
10.1455     58.517   135.582
10.2930     58.526   134.918
10.4427     58.539   134.170
10.5946     58.552   133.423
10.7487     58.565   132.675
10.9051     58.578   131.928
11.0637     58.590   131.180
11.2246     58.603   130.433
11.3879     58.616   129.685
11.5535     58.629   128.938
11.7216     58.642   128.188
11.8921     58.662   127.328
12.0650     58.682   126.468
12.2405     58.702   125.608
12.4186     58.722   124.748
12.5992     58.742   123.888
12.7825     58.762   123.027
12.9684     58.782   122.167
13.1570     58.802   121.307
13.3484     58.830   120.353
13.5426     58.859   119.383
13.7395     58.888   118.413
13.9394     58.917   117.443
14.1421     58.947   116.474
14.3478     58.976   115.504
14.5565     59.005   114.534
14.7683     59.041   113.507
14.9831     59.082   112.434
15.2010     59.123   111.362
15.4221     59.163   110.289
15.6464     59.204   109.217
15.8740     59.245   108.144
16.1049     59.286   107.072
16.3392     59.339   105.911
16.5768     59.393   104.747
16.8179     59.447   103.582
17.0626     59.502   102.418
17.3107     59.556   101.254
17.5625     59.610   100.089
17.8180     59.678    98.852
18.0771     59.747    97.610
18.3401     59.816    96.368
18.6068     59.885    95.125
18.8775     59.954    93.883
19.1521     60.030    92.616
19.4306     60.115    91.312
19.7133     60.200    90.008
20.0000     60.284    88.704
20.2909     60.369    87.400
20.5860     60.459    86.083
20.8855     60.560    84.734
21.1893     60.661    83.384
21.4975     60.762    82.035
21.8102     60.863    80.685
22.1274     60.972    79.321
22.4492     61.089    77.942
22.7758     61.206    76.563
23.1071     61.323    75.184
23.4432     61.440    73.805
23.7841     61.573    72.411
24.1301     61.705    71.016
24.4811     61.837    69.622
24.8372     61.970    68.227
25.1984     62.113    66.830
25.5649     62.260    65.432
25.9368     62.406    64.034
26.3141     62.553    62.636
26.6968     62.710    61.243
27.0851     62.869    59.850
27.4791     63.028    58.458
27.8788     63.189    57.067
28.2843     63.360    55.687
28.6957     63.531    54.307
29.1131     63.701    52.927
29.5365     63.878    51.556
29.9661     64.059    50.193
30.4020     64.240    48.830
30.8442     64.422    47.471
31.2929     64.612    46.128
31.7480     64.802    44.785
32.2098     64.991    43.442
32.6783     65.189    42.119
33.1536     65.386    40.797
33.6359     65.584    39.475
34.1251     65.787    38.173
34.6215     65.991    36.872
35.1250     66.195    35.572
35.6359     66.405    34.292
36.1543     66.615    33.013
36.6802     66.825    31.736
37.2137     67.040    30.478
37.7550     67.255    29.219
38.3041     67.472    27.968
38.8613     67.691    26.729
