* KOAN 2951 3-way demo — tweeter 30° horizontal, mic 1 m
* Source file = tweeter hor 30.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 0 ms, Rectangular
* Reference time = 2,5 ms
* Right window = 5,021 ms, Tukey 0.25
* FFT length = 32768
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* source: tweeter hor 30.txt (ARTA export, 13640 pts, 20.51–20000 Hz), resampled to a 500-pt log grid 20.5–20000 Hz (dB + unwrapped phase in log-f, then re-wrapped)
Freq[Hz]     dBSPL  Phase[Deg]
20.508  86.009  131.471
20.793  85.948  130.999
21.081  85.887  130.527
21.374  85.826  130.054
21.671  85.765  129.582
21.972  85.704  129.110
22.277  85.656  128.633
22.587  85.608  128.156
22.900  85.560  127.680
23.218  85.513  127.203
23.541  85.468  126.725
23.868  85.432  126.246
24.199  85.396  125.767
24.535  85.360  125.288
24.876  85.324  124.809
25.222  85.297  124.329
25.572  85.271  123.849
25.927  85.246  123.369
26.287  85.220  122.889
26.652  85.202  122.410
27.022  85.186  121.930
27.398  85.170  121.451
27.778  85.154  120.972
28.164  85.144  120.495
28.555  85.134  120.017
28.952  85.124  119.539
29.354  85.115  119.062
29.761  85.111  118.588
30.175  85.108  118.114
30.594  85.104  117.639
31.019  85.103  117.167
31.450  85.104  116.697
31.886  85.106  116.226
32.329  85.108  115.757
32.778  85.114  115.291
33.233  85.120  114.825
33.695  85.126  114.359
34.163  85.135  113.900
34.637  85.144  113.440
35.119  85.152  112.980
35.606  85.163  112.526
36.101  85.174  112.073
36.602  85.186  111.620
37.111  85.198  111.174
37.626  85.209  110.728
38.148  85.222  110.283
38.678  85.235  109.845
39.216  85.248  109.408
39.760  85.261  108.974
40.312  85.273  108.546
40.872  85.286  108.118
41.440  85.297  107.697
42.015  85.308  107.279
42.599  85.319  106.864
43.191  85.331  106.457
43.790  85.342  106.051
44.399  85.352  105.654
45.015  85.361  105.260
45.640  85.369  104.872
46.274  85.375  104.491
46.917  85.381  104.112
47.569  85.387  103.748
48.229  85.392  103.384
48.899  85.394  103.034
49.578  85.396  102.687
50.267  85.393  102.352
50.965  85.390  102.024
51.673  85.383  101.708
52.390  85.373  101.401
53.118  85.362  101.107
53.856  85.348  100.824
54.604  85.331  100.556
55.362  85.311  100.300
56.131  85.287  100.062
56.911  85.261  99.836
57.701  85.230  99.634
58.502  85.198  99.442
59.315  85.158  99.284
60.139  85.116  99.134
60.974  85.066  99.023
61.821  85.014  98.929
62.679  84.955  98.867
63.550  84.890  98.841
64.432  84.823  98.835
65.327  84.745  98.890
66.235  84.664  98.972
67.154  84.575  99.101
68.087  84.477  99.293
69.033  84.374  99.524
69.992  84.261  99.831
70.964  84.141  100.211
71.949  84.014  100.649
72.948  83.879  101.190
73.962  83.733  101.834
74.989  83.580  102.565
76.030  83.418  103.417
77.086  83.246  104.435
78.157  83.067  105.586
79.242  82.881  106.881
80.343  82.690  108.395
81.459  82.495  110.137
82.590  82.300  112.093
83.737  82.107  114.285
84.900  81.919  116.755
86.079  81.747  119.582
87.275  81.595  122.709
88.487  81.470  126.140
89.716  81.381  129.876
90.962  81.339  133.900
92.225  81.356  138.192
93.506  81.449  142.688
94.805  81.612  147.279
96.121  81.850  151.879
97.456  82.162  156.400
98.810  82.545  160.760
100.182  82.993  164.887
101.573  83.501  168.728
102.984  84.055  172.249
104.414  84.642  175.435
105.865  85.251  178.286
107.335  85.872  -179.187
108.826  86.501  -176.965
110.337  87.134  -175.027
111.869  87.767  -173.347
113.423  88.398  -171.903
114.998  89.024  -170.672
116.596  89.643  -169.632
118.215  90.255  -168.764
119.857  90.859  -168.052
121.521  91.456  -167.480
123.209  92.044  -167.042
124.920  92.621  -166.722
126.655  93.178  -166.504
128.414  93.716  -166.378
130.198  94.242  -166.338
132.006  94.760  -166.381
133.839  95.266  -166.499
135.698  95.763  -166.683
137.583  96.250  -166.927
139.494  96.730  -167.233
141.431  97.207  -167.592
143.395  97.687  -167.999
145.387  98.164  -168.457
147.406  98.633  -168.959
149.453  99.099  -169.501
151.529  99.562  -170.087
153.633  100.023  -170.708
155.767  100.477  -171.366
157.930  100.925  -172.058
160.124  101.367  -172.784
162.348  101.803  -173.541
164.603  102.232  -174.329
166.889  102.657  -175.145
169.206  103.081  -175.991
171.556  103.503  -176.863
173.939  103.920  -177.762
176.355  104.332  -178.688
178.804  104.737  -179.637
181.287  105.136  179.389
183.805  105.530  178.390
186.358  105.919  177.370
188.946  106.301  176.326
191.570  106.676  175.260
194.231  107.045  174.172
196.929  107.409  173.064
199.664  107.770  171.935
202.437  108.126  170.787
205.248  108.478  169.619
208.099  108.826  168.432
210.989  109.169  167.226
213.919  109.508  166.003
216.890  109.843  164.762
219.903  110.174  163.503
222.957  110.501  162.229
226.053  110.824  160.938
229.193  111.144  159.633
232.376  111.460  158.313
235.603  111.771  156.979
238.875  112.075  155.632
242.193  112.370  154.273
245.557  112.661  152.902
248.967  112.948  151.521
252.425  113.227  150.130
255.931  113.498  148.730
259.485  113.763  147.323
263.089  114.025  145.909
266.743  114.286  144.490
270.448  114.550  143.068
274.204  114.812  141.643
278.012  115.069  140.218
281.873  115.323  138.792
285.788  115.580  137.369
289.757  115.833  135.951
293.781  116.082  134.538
297.861  116.327  133.134
301.998  116.566  131.739
306.193  116.800  130.357
310.445  117.031  128.989
314.757  117.258  127.637
319.128  117.477  126.305
323.560  117.692  124.994
328.054  117.903  123.705
332.610  118.113  122.441
337.230  118.321  121.204
341.913  118.529  119.997
