* KOAN 2951 3-way demo — midrange 0° horizontal, mic 1 m
* Source file = mid hor 0.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 0 ms, Rectangular
* Reference time = 2,5 ms
* Right window = 5,021 ms, Tukey 0.25
* FFT length = 32768
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* source: mid hor 0.txt (ARTA export, 13640 pts, 20.51–20000 Hz), resampled to a 500-pt log grid 20.5–20000 Hz (dB + unwrapped phase in log-f, then re-wrapped)
Freq[Hz]     dBSPL  Phase[Deg]
20.508  123.548  149.573
20.793  123.462  149.179
21.081  123.377  148.786
21.374  123.291  148.392
21.671  123.206  147.998
21.972  123.120  147.605
22.277  123.048  147.191
22.587  122.976  146.778
22.900  122.904  146.364
23.218  122.832  145.951
23.541  122.764  145.531
23.868  122.704  145.100
24.199  122.644  144.668
24.535  122.584  144.236
24.876  122.524  143.804
25.222  122.474  143.356
25.572  122.426  142.907
25.927  122.377  142.457
26.287  122.329  142.008
26.652  122.289  141.546
27.022  122.253  141.081
27.398  122.216  140.615
27.778  122.179  140.149
28.164  122.149  139.671
28.555  122.120  139.189
28.952  122.091  138.708
29.354  122.063  138.225
29.761  122.042  137.730
30.175  122.021  137.235
30.594  122.000  136.739
31.019  121.984  136.236
31.450  121.972  135.727
31.886  121.959  135.218
32.329  121.948  134.706
32.778  121.942  134.184
33.233  121.936  133.663
33.695  121.930  133.141
34.163  121.931  132.608
34.637  121.931  132.075
35.119  121.932  131.541
35.606  121.938  130.998
36.101  121.945  130.453
36.602  121.952  129.908
37.111  121.963  129.354
37.626  121.975  128.800
38.148  121.987  128.244
38.678  122.004  127.679
39.216  122.021  127.115
39.760  122.039  126.546
40.312  122.060  125.973
40.872  122.082  125.400
41.440  122.105  124.820
42.015  122.130  124.238
42.599  122.155  123.655
43.191  122.185  123.065
43.790  122.215  122.475
44.399  122.248  121.879
45.015  122.281  121.282
45.640  122.315  120.681
46.274  122.352  120.077
46.917  122.389  119.472
47.569  122.430  118.861
48.229  122.472  118.250
48.899  122.516  117.634
49.578  122.560  117.017
50.267  122.606  116.396
50.965  122.653  115.772
51.673  122.700  115.146
52.390  122.748  114.517
53.118  122.798  113.885
53.856  122.849  113.250
54.604  122.902  112.613
55.362  122.955  111.974
56.131  123.010  111.332
56.911  123.066  110.688
57.701  123.124  110.040
58.502  123.182  109.391
59.315  123.242  108.737
60.139  123.303  108.084
60.974  123.364  107.426
61.821  123.426  106.767
62.679  123.489  106.104
63.550  123.553  105.439
64.432  123.618  104.773
65.327  123.685  104.102
66.235  123.753  103.431
67.154  123.821  102.757
68.087  123.890  102.079
69.033  123.960  101.400
69.992  124.030  100.718
70.964  124.101  100.034
71.949  124.174  99.347
72.948  124.248  98.658
73.962  124.323  97.966
74.989  124.399  97.272
76.030  124.476  96.575
77.086  124.552  95.875
78.157  124.630  95.173
79.242  124.707  94.469
80.343  124.788  93.761
81.459  124.869  93.050
82.590  124.950  92.337
83.737  125.032  91.622
84.900  125.115  90.903
86.079  125.198  90.181
87.275  125.282  89.457
88.487  125.366  88.730
89.716  125.450  87.999
90.962  125.535  87.265
92.225  125.620  86.529
93.506  125.706  85.788
94.805  125.791  85.045
96.121  125.876  84.298
97.456  125.960  83.548
98.810  126.045  82.794
100.182  126.133  82.037
101.573  126.228  81.276
102.984  126.326  80.511
104.414  126.424  79.743
105.865  126.520  78.971
107.335  126.613  78.195
108.826  126.704  77.414
