* KOAN 2951 3-way demo — tweeter 0° horizontal, mic 1 m
* Source file = tweeter hor 0.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 0 ms, Rectangular
* Reference time = 2,5 ms
* Right window = 5,021 ms, Tukey 0.25
* FFT length = 32768
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* source: tweeter hor 0.txt (ARTA export, 13640 pts, 20.51–20000 Hz), resampled to a 500-pt log grid 20.5–20000 Hz (dB + unwrapped phase in log-f, then re-wrapped)
Freq[Hz]     dBSPL  Phase[Deg]
20.508  95.419  156.229
20.793  95.311  155.909
21.081  95.203  155.590
21.374  95.095  155.270
21.671  94.987  154.950
21.972  94.879  154.631
22.277  94.782  154.293
22.587  94.685  153.956
22.900  94.587  153.618
23.218  94.490  153.281
23.541  94.396  152.938
23.868  94.308  152.584
24.199  94.220  152.229
24.535  94.132  151.875
24.876  94.044  151.520
25.222  93.964  151.151
25.572  93.884  150.780
25.927  93.805  150.409
26.287  93.726  150.039
26.652  93.653  149.656
27.022  93.581  149.270
27.398  93.510  148.884
27.778  93.439  148.498
28.164  93.372  148.100
28.555  93.305  147.699
28.952  93.238  147.299
29.354  93.172  146.897
29.761  93.110  146.483
30.175  93.048  146.069
30.594  92.986  145.655
31.019  92.926  145.234
31.450  92.869  144.807
31.886  92.811  144.381
32.329  92.755  143.952
32.778  92.701  143.515
33.233  92.647  143.077
33.695  92.593  142.640
34.163  92.541  142.192
34.637  92.490  141.744
35.119  92.438  141.296
35.606  92.388  140.839
36.101  92.339  140.382
36.602  92.289  139.925
37.111  92.240  139.461
37.626  92.191  138.996
38.148  92.142  138.531
38.678  92.095  138.059
39.216  92.047  137.588
39.760  92.000  137.115
40.312  91.951  136.638
40.872  91.903  136.161
41.440  91.854  135.682
42.015  91.805  135.201
42.599  91.755  134.721
43.191  91.707  134.238
43.790  91.658  133.756
44.399  91.608  133.272
45.015  91.558  132.789
45.640  91.507  132.306
46.274  91.454  131.825
46.917  91.402  131.343
47.569  91.348  130.864
48.229  91.295  130.385
48.899  91.240  129.911
49.578  91.184  129.437
50.267  91.126  128.969
50.965  91.065  128.503
51.673  91.002  128.043
52.390  90.937  127.587
53.118  90.870  127.138
53.856  90.802  126.695
54.604  90.730  126.261
55.362  90.657  125.833
56.131  90.581  125.418
56.911  90.503  125.009
57.701  90.420  124.618
58.502  90.337  124.234
59.315  90.247  123.872
60.139  90.156  123.518
