* KOAN 2951 3-way demo — tweeter 45° horizontal, mic 1 m
* Source file = tweeter hor 45.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 0 ms, Rectangular
* Reference time = 2,5 ms
* Right window = 5,021 ms, Tukey 0.25
* FFT length = 32768
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* source: tweeter hor 45.txt (ARTA export, 13640 pts, 20.51–20000 Hz), resampled to a 500-pt log grid 20.5–20000 Hz (dB + unwrapped phase in log-f, then re-wrapped)
Freq[Hz]     dBSPL  Phase[Deg]
20.508  93.556  159.413
20.793  93.455  159.146
21.081  93.353  158.879
21.374  93.252  158.612
21.671  93.151  158.345
21.972  93.049  158.078
22.277  92.960  157.798
22.587  92.870  157.518
22.900  92.781  157.238
23.218  92.691  156.958
23.541  92.605  156.674
23.868  92.525  156.382
24.199  92.445  156.091
24.535  92.366  155.799
24.876  92.286  155.507
25.222  92.215  155.206
25.572  92.145  154.903
25.927  92.075  154.600
26.287  92.005  154.298
26.652  91.943  153.988
27.022  91.882  153.676
27.398  91.821  153.364
27.778  91.761  153.052
28.164  91.705  152.732
28.555  91.650  152.411
28.952  91.595  152.091
29.354  91.541  151.769
29.761  91.492  151.441
30.175  91.443  151.112
30.594  91.394  150.784
31.019  91.349  150.452
31.450  91.306  150.118
31.886  91.263  149.784
32.329  91.221  149.449
32.778  91.183  149.110
33.233  91.145  148.771
33.695  91.107  148.431
34.163  91.072  148.088
34.637  91.038  147.746
35.119  91.004  147.403
35.606  90.973  147.058
36.101  90.943  146.712
36.602  90.912  146.367
37.111  90.884  146.021
37.626  90.856  145.674
38.148  90.828  145.328
38.678  90.803  144.982
39.216  90.778  144.636
39.760  90.753  144.290
40.312  90.729  143.946
40.872  90.706  143.601
41.440  90.683  143.260
42.015  90.661  142.919
42.599  90.639  142.579
43.191  90.620  142.243
43.790  90.600  141.907
44.399  90.581  141.576
45.015  90.562  141.246
45.640  90.543  140.919
46.274  90.524  140.597
46.917  90.506  140.276
47.569  90.490  139.964
48.229  90.475  139.652
48.899  90.459  139.349
49.578  90.443  139.048
50.267  90.427  138.757
50.965  90.410  138.470
51.673  90.393  138.192
52.390  90.375  137.920
53.118  90.358  137.657
53.856  90.340  137.403
54.604  90.322  137.159
55.362  90.304  136.925
56.131  90.286  136.703
56.911  90.269  136.490
57.701  90.251  136.295
58.502  90.232  136.106
