* KOAN 2951 3-way demo — midrange 15° horizontal, mic 1 m
* Source file = mid hor 15.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 0 ms, Rectangular
* Reference time = 2,5 ms
* Right window = 5,021 ms, Tukey 0.25
* FFT length = 32768
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* source: mid hor 15.txt (ARTA export, 13640 pts, 20.51–20000 Hz), resampled to a 500-pt log grid 20.5–20000 Hz (dB + unwrapped phase in log-f, then re-wrapped)
Freq[Hz]     dBSPL  Phase[Deg]
20.508  122.847  148.858
20.793  122.761  148.455
21.081  122.676  148.051
21.374  122.590  147.648
21.671  122.505  147.244
21.972  122.419  146.841
22.277  122.347  146.418
22.587  122.275  145.994
22.900  122.202  145.571
23.218  122.130  145.147
23.541  122.062  144.718
23.868  122.002  144.275
24.199  121.942  143.833
24.535  121.882  143.390
24.876  121.822  142.948
25.222  121.772  142.489
25.572  121.724  142.028
25.927  121.675  141.567
26.287  121.627  141.107
26.652  121.587  140.633
27.022  121.550  140.156
27.398  121.513  139.678
27.778  121.476  139.201
28.164  121.446  138.710
28.555  121.416  138.217
28.952  121.387  137.724
29.354  121.359  137.229
29.761  121.338  136.720
30.175  121.317  136.212
30.594  121.296  135.704
31.019  121.280  135.187
31.450  121.267  134.665
31.886  121.254  134.144
32.329  121.243  133.619
32.778  121.237  133.083
33.233  121.231  132.548
33.695  121.225  132.013
34.163  121.225  131.465
34.637  121.226  130.917
35.119  121.226  130.370
35.606  121.232  129.812
36.101  121.238  129.253
36.602  121.244  128.694
37.111  121.255  128.125
37.626  121.266  127.555
38.148  121.278  126.984
38.678  121.294  126.404
39.216  121.311  125.824
39.760  121.329  125.240
40.312  121.349  124.651
40.872  121.370  124.062
41.440  121.393  123.465
42.015  121.417  122.867
42.599  121.442  122.267
43.191  121.472  121.660
43.790  121.501  121.053
44.399  121.533  120.441
45.015  121.565  119.826
45.640  121.599  119.209
46.274  121.635  118.587
46.917  121.671  117.964
47.569  121.711  117.335
48.229  121.752  116.706
48.899  121.796  116.071
49.578  121.839  115.435
50.267  121.884  114.795
50.965  121.929  114.153
51.673  121.976  113.508
52.390  122.023  112.860
53.118  122.071  112.208
53.856  122.122  111.554
54.604  122.173  110.898
55.362  122.225  110.238
56.131  122.279  109.575
56.911  122.334  108.911
57.701  122.390  108.242
58.502  122.448  107.573
59.315  122.506  106.899
60.139  122.565  106.223
60.974  122.624  105.543
61.821  122.685  104.862
62.679  122.746  104.178
63.550  122.809  103.491
64.432  122.873  102.803
65.327  122.938  102.110
66.235  123.003  101.416
67.154  123.070  100.719
68.087  123.137  100.018
69.033  123.204  99.316
69.992  123.272  98.610
70.964  123.342  97.902
71.949  123.413  97.191
72.948  123.485  96.478
73.962  123.557  95.762
74.989  123.630  95.043
76.030  123.704  94.321
77.086  123.778  93.596
78.157  123.852  92.869
79.242  123.928  92.140
80.343  124.005  91.407
81.459  124.083  90.670
82.590  124.162  89.931
83.737  124.241  89.190
84.900  124.320  88.446
86.079  124.400  87.697
87.275  124.480  86.946
88.487  124.561  86.191
89.716  124.642  85.434
90.962  124.723  84.674
92.225  124.804  83.910
93.506  124.886  83.143
94.805  124.967  82.372
96.121  125.047  81.599
97.456  125.127  80.821
98.810  125.208  80.040
100.182  125.293  79.255
101.573  125.382  78.466
102.984  125.475  77.675
104.414  125.567  76.879
105.865  125.659  76.079
107.335  125.747  75.275
108.826  125.834  74.467
110.337  125.920  73.655
111.869  126.006  72.838
113.423  126.094  72.018
114.998  126.183  71.194
116.596  126.271  70.364
118.215  126.360  69.531
119.857  126.451  68.692
121.521  126.545  67.850
123.209  126.638  67.002
124.920  126.729  66.150
126.655  126.811  65.292
128.414  126.883  64.430
130.198  126.951  63.563
132.006  127.020  62.690
133.839  127.086  61.812
135.698  127.151  60.930
137.583  127.213  60.042
139.494  127.277  59.148
141.431  127.344  58.249
143.395  127.422  57.345
145.387  127.503  56.434
