* KOAN 2951 3-way demo — midrange 30° horizontal, mic 1 m
* Source file = mid hor 30.pir
* Impulse length = 65536
* Sample rate = 48000
* Scale type = Pa
* Left window = 0 ms, Rectangular
* Reference time = 2,5 ms
* Right window = 5,021 ms, Tukey 0.25
* FFT length = 32768
* Smoothing = None
* Calibration = MM1CDU_allein_00d.txt
* Scale = 0.0 dB
* source: mid hor 30.txt (ARTA export, 13640 pts, 20.51–20000 Hz), resampled to a 500-pt log grid 20.5–20000 Hz (dB + unwrapped phase in log-f, then re-wrapped)
Freq[Hz]     dBSPL  Phase[Deg]
20.508  123.679  149.698
20.793  123.593  149.306
21.081  123.508  148.913
21.374  123.422  148.521
21.671  123.337  148.128
21.972  123.251  147.736
22.277  123.179  147.324
22.587  123.107  146.912
22.900  123.034  146.500
23.218  122.962  146.088
23.541  122.894  145.670
23.868  122.834  145.239
24.199  122.774  144.808
24.535  122.714  144.378
24.876  122.654  143.947
25.222  122.604  143.500
25.572  122.556  143.053
25.927  122.507  142.605
26.287  122.459  142.157
26.652  122.419  141.696
27.022  122.383  141.231
27.398  122.346  140.767
27.778  122.309  140.302
28.164  122.279  139.825
28.555  122.249  139.345
28.952  122.220  138.865
29.354  122.192  138.383
29.761  122.171  137.889
30.175  122.150  137.395
30.594  122.129  136.901
31.019  122.113  136.399
31.450  122.100  135.891
31.886  122.087  135.383
32.329  122.076  134.872
32.778  122.070  134.351
33.233  122.065  133.831
33.695  122.059  133.310
34.163  122.060  132.777
34.637  122.060  132.245
35.119  122.061  131.712
35.606  122.067  131.170
36.101  122.073  130.627
36.602  122.080  130.083
37.111  122.091  129.530
37.626  122.103  128.976
38.148  122.115  128.421
38.678  122.132  127.857
39.216  122.149  127.293
39.760  122.168  126.726
40.312  122.189  126.153
40.872  122.210  125.580
41.440  122.233  125.001
42.015  122.258  124.419
42.599  122.283  123.836
43.191  122.313  123.246
43.790  122.343  122.657
44.399  122.376  122.062
45.015  122.409  121.465
45.640  122.443  120.865
46.274  122.480  120.261
46.917  122.517  119.656
47.569  122.558  119.045
48.229  122.600  118.434
48.899  122.644  117.818
49.578  122.688  117.200
50.267  122.734  116.579
50.965  122.781  115.955
51.673  122.828  115.329
52.390  122.876  114.700
53.118  122.926  114.067
53.856  122.977  113.433
54.604  123.030  112.795
55.362  123.083  112.155
56.131  123.138  111.511
56.911  123.195  110.866
57.701  123.253  110.218
58.502  123.311  109.568
59.315  123.371  108.913
60.139  123.432  108.258
60.974  123.493  107.599
61.821  123.555  106.938
62.679  123.618  106.275
63.550  123.682  105.608
64.432  123.747  104.940
65.327  123.815  104.268
66.235  123.883  103.594
67.154  123.951  102.918
68.087  124.020  102.238
69.033  124.090  101.557
69.992  124.160  100.872
70.964  124.232  100.185
71.949  124.305  99.496
72.948  124.379  98.804
73.962  124.454  98.108
74.989  124.530  97.411
76.030  124.607  96.711
77.086  124.683  96.008
78.157  124.761  95.301
79.242  124.839  94.593
80.343  124.919  93.881
81.459  125.000  93.167
82.590  125.082  92.450
83.737  125.164  91.729
84.900  125.247  91.006
86.079  125.331  90.279
87.275  125.414  89.549
88.487  125.498  88.816
89.716  125.583  88.080
90.962  125.668  87.341
92.225  125.753  86.598
93.506  125.838  85.851
94.805  125.923  85.101
96.121  126.008  84.348
97.456  126.092  83.591
98.810  126.177  82.830
100.182  126.265  82.065
101.573  126.360  81.296
102.984  126.457  80.524
104.414  126.555  79.747
105.865  126.651  78.966
107.335  126.744  78.181
108.826  126.835  77.392
110.337  126.926  76.598
111.869  127.018  75.799
113.423  127.111  74.996
114.998  127.204  74.189
116.596  127.298  73.377
118.215  127.393  72.559
119.857  127.490  71.737
121.521  127.588  70.910
123.209  127.687  70.077
124.920  127.785  69.239
126.655  127.873  68.396
128.414  127.950  67.547
130.198  128.026  66.693
132.006  128.100  65.832
133.839  128.173  64.966
135.698  128.243  64.094
137.583  128.313  63.216
139.494  128.382  62.332
141.431  128.457  61.442
143.395  128.541  60.545
145.387  128.628  59.642
147.406  128.716  58.732
149.453  128.805  57.817
151.529  128.899  56.893
153.633  128.994  55.963
155.767  129.090  55.026
157.930  129.184  54.083
160.124  129.278  53.132
162.348  129.370  52.174
164.603  129.461  51.209
166.889  129.551  50.237
169.206  129.646  49.256
171.556  129.742  48.270
173.939  129.838  47.275
176.355  129.932  46.272
178.804  130.024  45.263
181.287  130.115  44.245
183.805  130.202  43.220
186.358  130.289  42.187
188.946  130.372  41.146
191.570  130.452  40.099
194.231  130.529  39.042
196.929  130.606  37.979
199.664  130.681  36.908
202.437  130.755  35.830
205.248  130.827  34.743
208.099  130.899  33.650
210.989  130.970  32.549
213.919  131.039  31.441
216.890  131.107  30.326
219.903  131.175  29.204
222.957  131.240  28.075
226.053  131.306  26.939
229.193  131.371  25.797
232.376  131.434  24.648
235.603  131.496  23.493
238.875  131.553  22.333
242.193  131.605  21.167
245.557  131.656  19.995
248.967  131.704  18.818
252.425  131.748  17.637
255.931  131.787  16.451
259.485  131.824  15.262
263.089  131.859  14.069
266.743  131.898  12.872
270.448  131.941  11.672
274.204  131.986  10.471
278.012  132.029  9.268
281.873  132.072  8.063
285.788  132.120  6.856
289.757  132.167  5.650
293.781  132.213  4.444
297.861  132.257  3.238
301.998  132.299  2.033
306.193  132.338  0.830
310.445  132.376  -0.371
314.757  132.413  -1.570
319.128  132.444  -2.765
323.560  132.471  -3.957
328.054  132.498  -5.144
332.610  132.523  -6.328
337.230  132.549  -7.507
341.913  132.573  -8.681
346.662  132.597  -9.850
351.477  132.621  -11.012
356.358  132.645  -12.170
361.307  132.669  -13.323
366.325  132.693  -14.470
371.413  132.718  -15.612
376.571  132.743  -16.749
381.801  132.768  -17.883
387.104  132.793  -19.012
392.480  132.820  -20.139
397.931  132.849  -21.264
403.458  132.882  -22.389
409.061  132.916  -23.513
414.743  132.953  -24.640
420.503  132.993  -25.770
426.343  133.036  -26.906
432.264  133.080  -28.049
438.268  133.128  -29.201
444.354  133.180  -30.365
450.526  133.235  -31.542
456.783  133.295  -32.736
463.127  133.357  -33.948
469.559  133.424  -35.183
476.081  133.490  -36.442
482.693  133.556  -37.728
489.396  133.624  -39.044
496.193  133.695  -40.394
503.085  133.769  -41.780
510.072  133.842  -43.205
517.156  133.919  -44.672
524.338  133.996  -46.184
531.621  134.077  -47.743
539.004  134.163  -49.352
546.490  134.251  -51.015
554.080  134.338  -52.731
561.775  134.425  -54.505
569.577  134.512  -56.337
577.488  134.597  -58.227
585.508  134.679  -60.178
593.640  134.756  -62.187
601.885  134.832  -64.256
610.244  134.900  -66.382
618.720  134.963  -68.563
627.313  135.017  -70.796
636.025  135.065  -73.075
644.858  135.105  -75.397
653.815  135.134  -77.752
662.895  135.151  -80.134
672.102  135.153  -82.530
681.436  135.139  -84.931
690.900  135.111  -87.322
700.496  135.070  -89.686
710.225  135.013  -92.007
720.088  134.937  -94.267
730.089  134.849  -96.444
740.229  134.752  -98.519
750.510  134.650  -100.471
760.933  134.550  -102.283
771.501  134.451  -103.942
782.216  134.362  -105.442
793.080  134.289  -106.786
804.095  134.237  -107.994
815.263  134.216  -109.097
826.585  134.231  -110.144
838.065  134.286  -111.195
849.705  134.381  -112.323
861.506  134.515  -113.599
873.471  134.684  -115.090
885.602  134.880  -116.853
897.902  135.096  -118.924
910.372  135.323  -121.329
923.016  135.545  -124.068
935.835  135.753  -127.130
948.832  135.939  -130.491
962.010  136.093  -134.114
975.371  136.209  -137.955
988.917  136.280  -141.962
1002.652  136.301  -146.075
1016.577  136.268  -150.227
1030.696  136.182  -154.345
1045.011  136.041  -158.346
1059.524  135.850  -162.142
1074.239  135.612  -165.639
1089.159  135.343  -168.745
1104.286  135.058  -171.382
1119.623  134.782  -173.504
1135.172  134.542  -175.121
1150.938  134.368  -176.323
1166.923  134.283  -177.292
1183.130  134.298  -178.268
1199.562  134.407  -179.506
1216.222  134.587  178.782
1233.113  134.804  176.479
1250.239  135.026  173.559
1267.603  135.217  170.082
1285.208  135.353  166.160
1303.058  135.420  161.944
1321.155  135.410  157.612
1339.504  135.320  153.348
1358.108  135.156  149.348
1376.970  134.940  145.795
1396.094  134.704  142.833
1415.483  134.490  140.520
1435.142  134.346  138.777
1455.074  134.313  137.359
1475.283  134.411  135.891
1495.772  134.623  133.986
1516.546  134.910  131.365
1537.609  135.220  127.920
1558.964  135.507  123.705
1580.615  135.733  118.879
1602.567  135.880  113.662
1624.825  135.938  108.294
1647.391  135.914  103.005
1670.271  135.828  97.991
1693.468  135.712  93.377
1716.988  135.606  89.179
1740.834  135.544  85.272
1765.012  135.548  81.416
1789.525  135.614  77.324
1814.379  135.716  72.769
1839.578  135.816  67.652
1865.127  135.873  62.024
1891.030  135.858  56.054
1917.294  135.759  49.982
1943.922  135.574  44.066
1970.920  135.325  38.535
1998.293  135.047  33.522
2026.046  134.786  29.025
2054.185  134.570  24.892
2082.715  134.414  20.885
2111.640  134.309  16.799
2140.968  134.233  12.559
2170.702  134.165  8.226
2200.850  134.101  3.925
2231.417  134.059  -0.272
2262.408  134.065  -4.437
2293.829  134.131  -8.771
2325.687  134.239  -13.495
2357.987  134.354  -18.703
2390.736  134.432  -24.309
2423.939  134.458  -30.099
2457.604  134.455  -35.872
2491.736  134.451  -41.574
2526.343  134.469  -47.354
2561.430  134.497  -53.453
2597.004  134.504  -60.005
2633.073  134.444  -66.885
2669.642  134.292  -73.726
2706.719  134.073  -80.097
2744.311  133.859  -85.772
2782.425  133.736  -90.963
2821.069  133.739  -96.259
2860.249  133.825  -102.201
2899.974  133.909  -108.905
2940.250  133.932  -116.086
2981.086  133.885  -123.360
3022.488  133.800  -130.517
3064.466  133.709  -137.595
3107.027  133.614  -144.709
3150.179  133.500  -151.847
3193.930  133.369  -158.882
3238.288  133.244  -165.775
3283.263  133.147  -172.676
3328.863  133.053  -179.708
3375.096  132.937  173.306
3421.970  132.827  166.701
3469.496  132.826  160.389
3517.682  132.978  153.565
3566.537  133.180  145.435
3616.071  133.258  136.157
3666.293  133.156  126.769
3717.212  132.977  118.207
3768.838  132.916  110.208
3821.182  132.998  101.436
3874.252  133.012  91.264
3928.059  132.764  80.798
3982.614  132.335  71.934
4037.927  132.086  65.191
4094.007  132.254  58.216
4150.867  132.560  48.619
4208.516  132.590  37.106
4266.966  132.245  26.216
4326.227  131.824  17.688
4386.312  131.702  10.406
4447.231  131.824  1.930
4508.996  131.880  -7.853
4571.619  131.832  -17.392
4635.112  131.893  -26.451
4699.486  132.093  -36.433
4764.755  132.215  -47.584
4830.930  132.210  -58.454
4898.024  132.314  -68.702
4966.050  132.573  -80.126
5035.021  132.652  -93.044
5104.950  132.460  -104.787
5175.850  132.515  -114.162
5247.734  133.090  -125.052
5320.617  133.628  -139.401
5394.513  133.899  -154.229
5469.434  134.338  -168.957
5545.396  134.888  172.754
5622.413  134.834  151.220
5700.500  134.002  131.979
5779.671  133.331  118.213
5859.942  133.468  103.084
5941.327  133.437  82.632
6023.843  132.732  61.491
6107.505  131.757  42.218
6192.329  130.644  23.197
6278.331  129.142  5.531
6365.527  127.609  -8.602
6453.935  126.290  -21.863
6543.570  124.821  -33.246
6634.450  123.973  -40.922
